Entity,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49
http://dbpedia.org/resource/Æthelburh_of_Wilton,0.93058777,-0.8485299,-0.8753416,-0.45610175,0.2012478,0.78088665,0.8757729,0.92891324,0.7784649,-0.55270696,-0.33047193,-0.14208436,-0.24089128,-0.3021768,-0.2632288,-0.97969514,-0.365847,-0.3033221,0.18941171,0.019702416,-0.16017376,-0.9074925,-0.25946996,0.2265405,0.32803857,-0.4129677,0.32316875,-0.21653642,0.29676563,1.1069089,0.70049906,1.4893401,-0.81139,1.0295082,0.6771871,-0.079977304,-0.32478985,-0.38491797,-0.26302603,0.3529776,-0.24173334,-0.85264975,-0.65808797,-0.84046394,0.22176929,0.8510435,0.62269306,0.39944008,-0.113645904,0.31973276
http://dbpedia.org/resource/Ernest_Thayer,-0.71852034,0.4832835,0.030085394,-1.1563184,0.53937787,0.77958524,0.035406385,0.022534927,0.7301855,0.065832034,0.19762227,0.3961627,-0.005870057,0.54025596,-0.2246663,-0.045768242,0.432777,1.2669272,-0.20739943,-0.9744663,-0.07096238,-1.1894039,-1.1787596,1.4106246,0.21039377,-0.30764362,1.1588713,-0.15962006,-0.83147943,0.04810472,0.54031384,-0.1811723,0.28916097,0.114343025,-0.2322063,-0.4870862,-0.5582595,0.479842,1.5150611,0.6482602,-0.71695995,-0.017247329,0.64624935,0.532882,-0.6489356,-0.23023729,0.26590392,-0.8276766,0.02492957,-0.18627393
http://www.wikidata.org/entity/Q40231,-0.55669135,-0.46573338,0.26250997,0.6737263,-0.4075138,-0.22771364,-0.16310075,-0.6749914,1.6516677,0.5372164,-1.3209,-0.60860366,-1.3651278,0.47997594,0.6811746,-1.7010881,-1.812689,1.5238695,-0.3499543,-0.78538126,0.33684123,-0.9637091,-0.8931483,0.53409684,1.0390431,-0.91188073,0.63349396,0.2132648,0.46062467,-1.1500301,0.6662846,1.0948541,-1.2284683,-0.3308571,0.7571972,0.4245053,-0.46929908,1.1265773,0.81468415,1.5357003,-0.20510602,0.9017121,-1.3036997,-0.24255453,-0.5091554,-0.4182796,1.3218529,-0.57032233,0.30719092,0.5377928
http://dbpedia.org/resource/2021_Louisville_Cardinals_men's_soccer_team__Sander_Roed__1,-0.020290803,-0.0005827773,-0.1007445,0.87927985,-0.6676419,0.79510164,-0.012969831,0.28739634,-0.048486866,0.5766754,0.337632,-0.26744786,0.3599948,-0.04473855,1.3027048,1.6789885,0.0656684,0.95846814,0.015759422,1.0176473,0.05149469,-0.7430498,-0.16063619,0.0992465,0.2723029,0.5169265,0.0050837277,-0.1370389,-0.008110983,-0.96830547,0.18312496,-0.35648885,0.78007424,-0.7967844,0.06564114,0.016912859,-0.045746785,0.38775548,-0.12768914,-0.4301905,-0.6663282,1.0851172,0.9903719,0.40372506,0.080025695,-0.014633386,-0.46029362,-0.637892,-0.08540826,-1.370581
http://dbpedia.org/resource/Quince's_Scenicruisers,-0.32527015,-0.47857413,-0.0066027953,0.46628085,-0.3611247,-0.60067964,-0.059770804,0.7669379,-0.14063482,-0.6334034,-0.36192533,1.2353506,-0.19886748,-0.7495098,-0.035937946,1.0208323,-0.96585774,-1.4809371,0.13888387,-0.22417505,-0.3805111,0.18749802,0.5455249,1.0512714,-0.40724584,-0.056529295,0.3610339,0.11284963,-0.26482752,-0.34645185,1.0519664,-0.74954414,0.6392078,-1.0440892,0.06945156,-0.26579368,0.7321108,0.23651394,-0.69381064,0.12921241,-1.0010177,-0.030343996,0.42290577,-0.36280936,0.24643293,-0.6545579,0.69672096,-0.4122357,-0.23413001,-0.18055649
http://en.wikipedia.org/wiki/Ousmaïla_Baba,0.23862687,0.7368135,-0.23058155,-0.64893633,1.1157163,0.67011994,0.15607883,-0.8761277,-0.09105573,0.35902688,0.9592317,0.08248296,0.7223892,0.6782951,-0.097238466,0.6863122,0.5491683,0.061755907,0.12822114,-0.5889454,-0.12518239,0.6487068,0.70793164,0.34403846,-0.48547727,-1.0981965,0.32431492,0.8461328,0.48238578,-0.2331832,0.70575374,-0.33260047,0.5550263,-0.55251145,-0.8952412,0.08776661,0.24656731,-0.29260188,0.43462113,0.39495006,-0.5925461,-0.61075205,0.51057076,-0.5052741,0.08740402,0.38705376,-0.16248485,-0.2436719,-0.11111641,-0.4857161
http://dbpedia.org/ontology/OrganisationMember,-0.4361947,0.35830525,1.7831974,-0.3239555,0.20021772,0.39823607,-1.1427768,-0.12905338,0.49129608,-0.5784945,-1.5086282,0.26215914,1.9235537,-1.4249042,-0.4362017,-0.10987243,-1.5529305,0.5964882,-0.61143166,-1.4234954,1.0089716,-0.0011326192,-0.93408364,-0.25799412,-0.9040347,0.512669,0.16586111,0.94153947,1.5153465,0.12004374,-0.22011484,-1.1104488,0.74593484,0.78740805,-1.3332396,0.41760096,-1.0511192,1.9660292,-0.83325535,-0.45786524,0.7969912,-0.09242832,1.1695246,-0.40220866,-1.4452795,-0.024730854,0.65571994,-0.17018053,0.95466304,0.67802495
"http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInMiamiBeach,Florida",-1.6060466,1.0663993,0.07373809,-0.1473066,0.7785815,-0.5527454,-0.076144926,-1.5481917,0.067327306,-0.37470296,0.1307456,1.2835833,-0.99711317,0.09284943,0.44984275,-1.3724972,-1.0161448,-1.2652477,-1.077639,-0.04599943,0.18837845,1.0320882,0.040267162,-1.5390546,1.6223282,0.89713573,0.88788146,0.97734296,-0.1349021,-0.39509255,-1.0047297,0.20707737,-0.41076145,-0.44971895,1.0988635,1.0593462,-1.2100109,1.3124177,0.56494695,-0.06426098,1.128452,0.078258164,0.38536215,-0.5668972,0.01612365,-0.7112117,0.60247,1.4253832,1.1549219,-0.042588897
http://dbpedia.org/resource/1906–07_Istanbul_Football_League,0.86120164,0.14495015,-0.17768517,0.26169246,-0.91881937,1.0511655,0.41432297,-0.39619133,0.1523617,-0.012261862,-0.8635172,0.56720006,1.1928443,-0.051478755,0.23203951,-0.45082363,-0.6861866,-0.8004327,0.8387336,0.43830028,-0.6631164,-0.051326144,0.54553735,0.714978,0.9991023,0.3914027,-0.60230005,-1.0588043,0.9742237,-0.36659876,0.5372571,0.08348381,-0.5590441,-0.39478156,-0.5829026,-0.8372327,0.516633,-0.70308685,-0.46975914,0.76763177,0.81038225,-0.6554829,0.3431247,1.0950316,1.350998,1.1301297,0.7008814,0.38771537,-0.9954854,1.1371992
"http://dbpedia.org/class/yago/WikicatPeopleFromMelrosePark,Illinois",0.4199305,1.4154826,1.0977225,1.3928605,-0.27852714,-0.8764718,0.51472193,-0.22241151,0.07773856,-0.6044285,-0.5980876,0.61552227,0.99927044,0.007056783,0.19275135,-0.25672406,-1.6707234,-0.2989124,-0.59129274,-0.5580631,0.73199266,0.5536325,-0.9482578,0.5048475,-0.27084473,-0.41521063,-0.82000023,-0.41352025,-0.34117025,-0.7175392,-0.39057657,-1.1828308,-0.44784555,-0.63151836,0.8995836,0.22630961,-0.10564603,-1.0142598,-0.22714603,1.3064858,-0.011809102,0.050529473,0.8124844,-0.66814524,-0.2593583,-0.91279525,0.3999739,0.026880577,0.849415,0.76815003
